Capella;Капелла;α;Aur;;HR 1708;0.08;79.172328;45.997991;;Альхайот
Caph;Каф;β;Cas;;HR 21;2.28;2.294522;59.149781;;Шаф
Castor;Кастор;α;Gem;;HR 2891;1.98;113.649428;31.888276;;
Castula;Кастула;υ;Cas;2;HR 265;4.62;14.166271;59.181055;;
Cebalrai;Цебальрай;β;Oph;;HR 6603;2.76;265.868136;4.567300;;Цельбальрай
Celaeno;Целено;16;Tau;;HR 1140;5.45;56.200893;24.289468;;Целано
Cervantes;Сервантес;μ;Ara;;HR 6585;5.15;266.036255;-51.834051;;
Chalawan;Чалаван;47;UMa;;HR 4277;5.03;164.866553;40.430256;;
Chamukuy;Chamukuy;θ;Tau;2;HR 1412;3.73;67.165586;15.870882;;
Chara;Хара;β;CVn;;HR 4785;4.24;188.435603;41.357479;;Чара, Астерион
Chertan;Хертан;θ;Leo;;HR 4359;3.33;168.560019;15.429571;;Хорт, Кокса, Субра
Copernicus;Коперник;55;Cnc;;HR 3522;5.95;133.149212;28.330820;;
Cor Caroli;Сердце Карла;α;CVn;2;HR 4915;2.89;194.006943;38.318376;;Кор Кароли
Cujam;Каям;ω;Her;;HR 6117;4.57;246.353979;14.033274;;
Cursa;Курса;β;Eri;;HR 1666;2.78;76.962440;-5.086446;;
Dabih;Дабих;β;Cap;1;HR 7776;3.05;305.252803;-14.781405;;
Dalim;Далим;α;For;;HR 963;3.86;48.018864;-28.987620;;Форнацис
Deneb;Денеб;α;Cyg;;HR 7924;1.25;310.357980;45.280339;;Аридиф, Денеб Адиге
Deneb Algedi;Денеб Алгеди;δ;Cap;;HR 8322;2.85;326.760184;-16.127287;;Денеб Альгеди, Денеб Альджеди, Шедди
Denebola;Денебола;β;Leo;;HR 4534;2.14;177.264910;14.572058;;
Diadem;Диадема;α;Com;;HR 4968;4.85;197.497029;17.529447;;
Diphda;Дифда;β;Cet;;HR 188;2.04;10.897379;-17.986606;;Денеб Каитос, Денеб Кайтос, Кайтос
Dschubba;Джубба;δ;Sco;;HR 5953;2.29;240.083359;-22.621710;;Изидис
Dubhe;Дубхе;α;UMa;;HR 4301;1.81;165.931965;61.751035;;Ак
Dziban;Дзибан;ψ;Dra;1;HR 6636;4.57;265.484814;72.148847;;
Edasich;Эдасих;ι;Dra;;HR 5744;3.29;231.232396;58.966063;;Эд-Асик
Electra;Электра;17;Tau;;HR 1142;3.72;56.218904;24.113336;;
Elgafar;Эльгафар;;Vir;;HR 5409;4.84;217.050575;-2.227957;;
Elkurud;Элькуруд;θ;Col;;HR 2177;5.00;91.881801;-37.252920;;
Elnath;Эльнат;β;Tau;;HR 1791;1.65;81.572971;28.607452;;Нат, Натх, Эль Натх, Аль Карн аль Тхаур аль Шамалийя, Аль Каб дил Инан, Аль Таваби аль Айтюк
Eltanin;Эльтанин;γ;Dra;;HR 6705;2.24;269.151541;51.488896;;Элтанин, Этамин
Enif;Эниф;ε;Peg;;HR 8308;2.38;326.046484;9.875009;;
Errai;Эрраи;γ;Cep;;HR 8974;3.21;354.836655;77.632313;;Эррай, Альраи
Fafnir;Фафнир;42;Dra;;HR 6945;4.82;276.496406;65.563480;;
Fang;Фанг;π;Sco;;HR 5944;2.89;239.712972;-26.114108;;
Fawaris;Фаварис;δ;Cyg;;HR 7528;2.90;296.243658;45.130810;;
Felis;Фелис;;Hya;;HR 3923;4.94;148.717528;-19.009336;;
Fomalhaut;Фомальгаут;α;PsA;;HR 8728;1.17;344.412693;-29.622237;;
Fulu;Фулу;ζ;Cas;;HR 153;3.69;9.242851;53.896908;;
Fumalsamakah;Фумальсамаках;β;Psc;;HR 8773;4.48;345.969225;3.820045;;Фум Альсамаках
Furud;Фуруд;ζ;CMa;;HR 2282;3.02;95.078300;-30.063367;;
Fuyue;Фуюэ;;Sco;;HR 6630;3.19;267.464503;-37.043305;;
Gacrux;Гакрукс;γ;Cru;;HR 4763;1.59;187.791498;-57.113213;;
Giausar;Джансар;λ;Dra;;HR 4434;3.82;172.850920;69.331075;;Гианфар
Gienah;Гиена;γ;Crv;;HR 4662;2.58;183.951543;-17.541929;;Дженах, Дженах Гхураб
Ginan;Гинан;ε;Cru;;HR 4700;3.59;185.340039;-60.401147;;Интрометида
Gomeisa;Гомейса;β;CMi;;HR 2845;2.89;111.787674;8.289316;;Гомейза
Grumium;Грумиум;ξ;Dra;;HR 6688;3.73;268.382207;56.872646;;
Gudja;Гуджа;κ;Ser;;HR 5879;4.09;237.184903;18.141564;;
Guniibuu;Гуниибуу;36;Oph;;HR 6402;5.07;258.837875;-26.598892;;
Hadar;Хадар;β;Cen;;HR 5267;0.61;210.955856;-60.373035;;Агена, Ходар
Haedus;Хедус;η;Aur;;HR 1641;3.18;76.628722;41.234476;;Хедус II
Hamal;Хамаль;α;Ari;;HR 617;2.01;31.793357;23.462418;;Гамаль
Hassaleh;Хассалех;ι;Aur;;HR 1577;2.69;74.248421;33.166100;;Аль Ка’б д’ил Инан, Кабдилинан
Hatysa;Хатиса;ι;Ori;;HR 1899;2.80;83.858258;-5.909901;;Наир Аль Саиф
Helvetios;Гельветиос;51;Peg;;HR 8729;5.49;344.366583;20.768831;;
Heze;Хезе;ζ;Vir;;HR 5107;3.38;203.673300;-0.595820;;
Homam;Хомам;ζ;Peg;;HR 8634;3.41;340.365503;10.831363;;
Iklil;Иклил;ρ;Sco;;HR 5928;3.87;239.221151;-29.214073;;
Imai;Имай;δ;Cru;;HR 4656;2.75;183.786320;-58.748927;;Декрукс
Intercrus;Интеркрус;;UMa;;HR 3743;5.41;142.166618;45.601482;;
Izar;Ицар;ε;Boo;;HR 5506;2.35;221.246763;27.074207;;Изар, Пульхеррима, Мирак, Мизар, Аль Митаках аль Авва
Jabbah;Джаббах;ν;Sco;;HR 6027;4.50;242.998894;-19.460708;;
Jishui;Цзишуй;ο;Gem;;HR 2930;4.89;114.791387;34.584346;;
